Year,Month,Date,NumVisitors,annualGrowthRate,YM
2016년,6월,2016-06-01,6.1599,0.678629823413996,2016년6월
2016년,7월,2016-07-01,7.1641,0.5797702264658537,2016년7월
2016년,8월,2016-08-01,7.8023,0.4363586156111929,2016년8월
2016년,9월,2016-09-01,7.22,0.5437246097926021,2016년9월
2016년,10월,2016-10-01,7.3819,0.2331117198984365,2016년10월
2016년,11월,2016-11-01,8.2274,0.3905151433207139,2016년11월
2016년,12월,2016-12-01,9.9578,0.4316440227158364,2016년12월
2017년,1월,2017-01-01,11.2078,0.3087108827650631,2017년1월
2017년,2월,2017-02-01,9.4803,0.240763280851231,2017년2월
2017년,3월,2017-03-01,8.6945,0.5404308848020978,2017년3월
2017년,4월,2017-04-01,8.4249,0.344370332546116,2017년4월
2017년,5월,2017-05-01,7.9543,0.240804292889901,2017년5월
2017년,6월,2017-06-01,7.2031,0.1693533985941331,2017년6월
2017년,7월,2017-07-01,7.132,-0.0044806744741139,2017년7월
2017년,8월,2017-08-01,7.539,-0.033746459377363,2017년8월
2017년,9월,2017-09-01,7.2012,-0.0026038781163434,2017년9월
2017년,10월,2017-10-01,9.4207,0.2761890570178409,2017년10월
2017년,11월,2017-11-01,9.8161,0.1930986702968131,2017년11월
2017년,12월,2017-12-01,11.3641,0.1412259736086283,2017년12월
2018년,1월,2018-01-01,12.9355,0.1541515730116525,2018년1월
2018년,2월,2018-02-01,9.2515,-0.024134257354725,2018년2월
2018년,3월,2018-03-01,7.8392,-0.0983725343608028,2018년3월
2018년,4월,2018-04-01,6.6555,-0.2100202969768186,2018년4월
2018년,5월,2018-05-01,7.6389,-0.039651509246571,2018년5월
2018년,6월,2018-06-01,6.4436,-0.1054407130263358,2018년6월
2018년,7월,2018-07-01,6.2696,-0.1209197980931015,2018년7월
2018년,8월,2018-08-01,7.1653,-0.0495689083432816,2018년8월
2018년,9월,2018-09-01,7.7457,0.0756123979336778,2018년9월
2018년,10월,2018-10-01,9.0026,-0.0443809907968621,2018년10월
2018년,11월,2018-11-01,10.0382,0.0226260938661995,2018년11월
2018년,12월,2018-12-01,10.9266,-0.0384984292640859,2018년12월
2019년,1월,2019-01-01,11.6976,-0.0956978856634842,2019년1월
2019년,2월,2019-02-01,11.4425,0.2368264605739609,2019년2월
2019년,3월,2019-03-01,9.4907,0.2106720073476886,2019년3월
2019년,4월,2019-04-01,8.0214,0.2052287581699345,2019년4월
2019년,5월,2019-05-01,8.0273,0.0508450169527026,2019년5월
