Year,Month,Date,NumVisitors,annualGrowthRate
2018년,6월,2018-06-01,5.7787,-0.13438089816950782
2018년,7월,2018-07-01,5.9451,-0.1980061784187025
2018년,8월,2018-08-01,6.6052,-0.12569492243341984
2018년,9월,2018-09-01,5.8246,-0.04420741713160481
2018년,10월,2018-10-01,6.024,-0.25193721438505856
2018년,11월,2018-11-01,6.7685,-0.06609175577785442
2018년,12월,2018-12-01,7.7216,0.0009722456281355818
2019년,1월,2019-01-01,9.9463,0.01637015767261718
2019년,2월,2019-02-01,8.6179,0.20306283416860937
2019년,3월,2019-03-01,7.6409,0.08251044839555144
2019년,4월,2019-04-01,6.1573,0.007642457369161804
2019년,5월,2019-05-01,6.5763,0.01204986149584486
