Year,Month,Date,NumVisitors,annualGrowthRate
2018년,6월,2018-06-01,4.646,0.5770536320434487
2018년,7월,2018-07-01,6.4496,0.5229639424779806
2018년,8월,2018-08-01,6.1224,0.3109783516412925
2018년,9월,2018-09-01,4.5255,0.1218671756860605
2018년,10월,2018-10-01,4.7754,0.1077244258872651
2018년,11월,2018-11-01,5.2851,0.2426465401706989
2018년,12월,2018-12-01,5.3174,0.0418919978054705
2019년,1월,2019-01-01,7.4964,0.0924352603430436
2019년,2월,2019-02-01,6.4366,0.1478146120512866
2019년,3월,2019-03-01,4.7497,0.1212171285586138
2019년,4월,2019-04-01,3.9966,0.0894667975139025
2019년,5월,2019-05-01,4.3894,0.0494680215182308
