Year,Month,Date,NumVisitors,annualGrowthRate
2016년,6월,2016-06-01,0.0,0.0
2016년,7월,2016-07-01,0.0,0.0
2016년,8월,2016-08-01,0.0,0.0
2016년,9월,2016-09-01,0.0,0.0
2016년,10월,2016-10-01,0.0,0.0
2016년,11월,2016-11-01,0.0,0.0
2016년,12월,2016-12-01,0.0,0.0
2017년,1월,2017-01-01,6.5829,0.0222370607326427
2017년,2월,2017-02-01,0.0,0.0
2017년,3월,2017-03-01,0.0,0.0
2017년,4월,2017-04-01,0.0,0.0
2017년,5월,2017-05-01,0.0,0.0
2017년,6월,2017-06-01,0.0,0.0
2017년,7월,2017-07-01,0.0,0.0
2017년,8월,2017-08-01,0.0,0.0
2017년,9월,2017-09-01,0.0,0.0
2017년,10월,2017-10-01,0.0,0.0
2017년,11월,2017-11-01,0.0,0.0
2017년,12월,2017-12-01,0.0,0.0
2018년,1월,2018-01-01,0.8591,0.1066855033495874
2018년,2월,2018-02-01,0.5515,0.0
2018년,3월,2018-03-01,0.5748,0.0
2018년,4월,2018-04-01,0.4043,0.0
2018년,5월,2018-05-01,0.4191,0.0
2018년,6월,2018-06-01,0.4255,0.0
2018년,7월,2018-07-01,0.5451,0.0
2018년,8월,2018-08-01,0.4741,0.0
2018년,9월,2018-09-01,0.3784,0.0
2018년,10월,2018-10-01,0.7374,0.0
2018년,11월,2018-11-01,0.9218,0.0
2018년,12월,2018-12-01,0.9941,0.0
2019년,1월,2019-01-01,1.4435,0.6802467698754511
2019년,2월,2019-02-01,1.2266,1.224116047144152
2019년,3월,2019-03-01,1.0947,0.9044885177453028
2019년,4월,2019-04-01,0.7596,0.8788028691565668
2019년,5월,2019-05-01,0.6789,0.6198997852541159
