Year,Month,Date,NumVisitors,annualGrowthRate
2018년,6월,2018-06-01,4.5325,-0.0841028957099844
2018년,7월,2018-07-01,5.7823,-0.0086239412954771
2018년,8월,2018-08-01,6.2729,0.0290696720639138
2018년,9월,2018-09-01,4.7734,0.0027729927313977
2018년,10월,2018-10-01,5.3926,0.0092831742466779
2018년,11월,2018-11-01,5.0634,-0.0285670433397924
2018년,12월,2018-12-01,4.2223,-0.0289991721092816
2019년,1월,2019-01-01,7.2704,-0.037058620963683
2019년,2월,2019-02-01,6.2241,0.1708019036511727
2019년,3월,2019-03-01,4.7168,-0.0398762391353023
2019년,4월,2019-04-01,3.9464,-0.1141638608305275
2019년,5월,2019-05-01,4.3561,-0.0676155821917808
