Year,Month,Date,NumVisitors,annualGrowthRate
2016년,6월,2016-06-01,0.0,0.0
2016년,7월,2016-07-01,0.0,0.0
2016년,8월,2016-08-01,0.0,0.0
2016년,9월,2016-09-01,0.0,0.0
2016년,10월,2016-10-01,0.0,0.0
2016년,11월,2016-11-01,0.0,0.0
2016년,12월,2016-12-01,0.0,0.0
2017년,1월,2017-01-01,14.2383,0.2818520652526197
2017년,2월,2017-02-01,0.0,0.0
2017년,3월,2017-03-01,0.0,0.0
2017년,4월,2017-04-01,0.0,0.0
2017년,5월,2017-05-01,0.0,0.0
2017년,6월,2017-06-01,0.0,0.0
2017년,7월,2017-07-01,0.0,0.0
2017년,8월,2017-08-01,0.0,0.0
2017년,9월,2017-09-01,0.0,0.0
2017년,10월,2017-10-01,0.0,0.0
2017년,11월,2017-11-01,0.0,0.0
2017년,12월,2017-12-01,0.0,0.0
2018년,1월,2018-01-01,15.0536,0.057261049423035
2018년,2월,2018-02-01,0.0,0.0
2018년,3월,2018-03-01,0.0,0.0
2018년,4월,2018-04-01,0.0,0.0
2018년,5월,2018-05-01,0.0,0.0
2018년,6월,2018-06-01,0.0,0.0
2018년,7월,2018-07-01,0.0,0.0
2018년,8월,2018-08-01,0.0,0.0
2018년,9월,2018-09-01,0.0,0.0
2018년,10월,2018-10-01,0.0,0.0
2018년,11월,2018-11-01,0.0,0.0
2018년,12월,2018-12-01,0.0,0.0
2019년,1월,2019-01-01,14.9445,-0.0072474358293033
2019년,2월,2019-02-01,0.0,0.0
2019년,3월,2019-03-01,0.0,0.0
2019년,4월,2019-04-01,0.0,0.0
2019년,5월,2019-05-01,0.0,0.0
