Year,Month,Date,NumVisitors,annualGrowthRate
2016년,6월,2016-06-01,2.6084,-0.0418748163385248
2016년,7월,2016-07-01,3.1502,0.10212363992583
2016년,8월,2016-08-01,3.094,0.0650602409638554
2016년,9월,2016-09-01,2.6543,0.0453292375551355
2016년,10월,2016-10-01,2.6869,-0.1229599164381772
2016년,11월,2016-11-01,2.688,-0.1498782377684303
2016년,12월,2016-12-01,2.6873,-0.0455336529923636
2017년,1월,2017-01-01,3.6221,0.0164159838365698
2017년,2월,2017-02-01,3.5616,0.126767692745737
2017년,3월,2017-03-01,3.0953,0.1858023981917786
2017년,4월,2017-04-01,3.6376,0.299653435278145
2017년,5월,2017-05-01,3.4092,0.2692952083100637
2017년,6월,2017-06-01,3.5093,0.3453841435362674
2017년,7월,2017-07-01,4.4793,0.4219097200177766
2017년,8월,2017-08-01,4.12,0.3316095669036845
2017년,9월,2017-09-01,3.9059,0.4715367516859436
2017년,10월,2017-10-01,3.3284,0.2387509769622986
2017년,11월,2017-11-01,3.1675,0.1783854166666667
2017년,12월,2017-12-01,2.4829,-0.0760614743422766
2018년,1월,2018-01-01,3.3453,-0.076419756494851
2018년,2월,2018-02-01,2.9361,-0.1756233153638814
2018년,3월,2018-03-01,2.5316,-0.1821148192420767
2018년,4월,2018-04-01,2.6576,-0.2694084011436112
2018년,5월,2018-05-01,2.8786,-0.1556376862607063
2018년,6월,2018-06-01,2.5749,-0.2662639272789445
2018년,7월,2018-07-01,3.7174,-0.1700935414015583
2018년,8월,2018-08-01,3.5921,-0.128131067961165
2018년,9월,2018-09-01,2.8569,-0.2685680636985074
2018년,10월,2018-10-01,3.0284,-0.0901333974281937
2018년,11월,2018-11-01,2.7676,-0.1262509865824782
2018년,12월,2018-12-01,3.002,0.2090700390672197
2019년,1월,2019-01-01,3.362,0.0049920784384061
2019년,2월,2019-02-01,3.1847,0.0846701406627838
2019년,3월,2019-03-01,2.7005,0.0667167009006162
2019년,4월,2019-04-01,2.6557,-0.0007149307645996
2019년,5월,2019-05-01,2.6814,-0.068505523518377
