Year,Month,Date,NumVisitors,annualGrowthRate
2016년,6월,2016-06-01,34.7365,0.3811509956104078
2016년,7월,2016-07-01,44.7008,0.3002015712669321
2016년,8월,2016-08-01,45.8927,0.1738134030401232
2016년,9월,2016-09-01,43.0614,0.4275522551343467
2016년,10월,2016-10-01,44.9555,0.2122548147189369
2016년,11월,2016-11-01,42.6918,0.1863941419222166
2016년,12월,2016-12-01,49.4376,0.1893873780241353
2017년,1월,2017-01-01,62.5415,0.2146598587268324
2017년,2월,2017-02-01,60.0018,0.2224184824129818
2017년,3월,2017-03-01,48.8349,0.3055470155617994
2017년,4월,2017-04-01,55.4627,0.5682491658655207
2017년,5월,2017-05-01,55.8892,0.8500966605757263
2017년,6월,2017-06-01,56.8877,0.637692340909418
2017년,7월,2017-07-01,64.4026,0.4407482640131721
2017년,8월,2017-08-01,62.0904,0.3529472007530609
2017년,9월,2017-09-01,55.6885,0.293234776389063
2017년,10월,2017-10-01,62.0936,0.381223654502786
2017년,11월,2017-11-01,62.2604,0.4583690544788461
2017년,12월,2017-12-01,67.8905,0.3732563878505428
2018년,1월,2018-01-01,80.3816,0.2852521925441507
2018년,2월,2018-02-01,70.8318,0.1804945851624451
2018년,3월,2018-03-01,61.9196,0.2679374791388944
2018년,4월,2018-04-01,63.8523,0.1512656253662372
2018년,5월,2018-05-01,64.0355,0.1457580355417504
2018년,6월,2018-06-01,60.6162,0.065541408775535
2018년,7월,2018-07-01,60.7953,-0.0560117138127963
2018년,8월,2018-08-01,59.3941,-0.0434253926532925
2018년,9월,2018-09-01,47.9733,-0.1385420688292915
2018년,10월,2018-10-01,57.1176,-0.0801370833709109
2018년,11월,2018-11-01,58.8213,-0.055237357935381
2018년,12월,2018-12-01,68.1566,0.0039195469174626
2019년,1월,2019-01-01,77.9383,-0.0303962598405604
2019년,2월,2019-02-01,71.5804,0.0105686993694922
2019년,3월,2019-03-01,58.5586,-0.0542800664086977
2019년,4월,2019-04-01,56.6624,-0.1126020519229534
2019년,5월,2019-05-01,60.3394,-0.0577195461892231
