Year,Month,Date,NumVisitors,annualGrowthRate
2018년,6월,2018-06-01,1.5256,-0.2584455354104894
2018년,7월,2018-07-01,1.7107,-0.3182017456458491
2018년,8월,2018-08-01,1.7822,-0.2150281888653982
2018년,9월,2018-09-01,1.3457,-0.2669281473007572
2018년,10월,2018-10-01,1.6045,-0.2882175494632242
2018년,11월,2018-11-01,2.2282,-0.2432414074174704
2018년,12월,2018-12-01,4.0457,0.1043867551115114
2019년,1월,2019-01-01,4.1364,-0.1815753546625511
2019년,2월,2019-02-01,3.1053,-0.2259198324857911
2019년,3월,2019-03-01,2.2852,-0.3544450408203622
2019년,4월,2019-04-01,1.5325,-0.1873475448085693
2019년,5월,2019-05-01,1.4007,-0.0293139293139292
