Year,Month,Date,NumVisitors,annualGrowthRate
2016년,6월,2016-06-01,10.7506,0.17139557182705722
2016년,7월,2016-07-01,13.431,0.10544119704688937
2016년,8월,2016-08-01,14.0804,0.024744548921428855
2016년,9월,2016-09-01,10.789,0.14473363112605964
2016년,10월,2016-10-01,9.9409,-0.08734610688284383
2016년,11월,2016-11-01,11.4745,-0.06940625937730627
2016년,12월,2016-12-01,14.1561,-0.051930482536918565
2017년,1월,2017-01-01,17.1485,-0.019917700177173203
2017년,2월,2017-02-01,16.3559,0.10746303017171344
2017년,3월,2017-03-01,12.8234,0.24150684003136824
2017년,4월,2017-04-01,11.6421,0.21544083102782263
2017년,5월,2017-05-01,11.222,0.16578884491123103
2017년,6월,2017-06-01,13.3734,0.24396777854259288
2017년,7월,2017-07-01,15.2515,0.13554463554463547
2017년,8월,2017-08-01,16.4001,0.16474674014942758
2017년,9월,2017-09-01,13.4475,0.24640837890443978
2017년,10월,2017-10-01,13.2014,0.32798841151203617
2017년,11월,2017-11-01,14.7762,0.28774238528911944
2017년,12월,2017-12-01,16.1447,0.14047654368081597
2018년,1월,2018-01-01,19.7625,0.1524331574190163
2018년,2월,2018-02-01,16.0148,-0.02085485971423151
2018년,3월,2018-03-01,14.3644,0.12017093750487384
2018년,4월,2018-04-01,11.587,-0.0047328231161044565
2018년,5월,2018-05-01,12.2684,0.09324541080021387
2018년,6월,2018-06-01,14.1562,0.05853410501443168
2018년,7월,2018-07-01,15.3523,0.006609185981706789
2018년,8월,2018-08-01,16.4137,0.0008292632361996954
2018년,9월,2018-09-01,13.5484,0.007503253392823872
2018년,10월,2018-10-01,13.2018,3.029981668611903e-05
2018년,11월,2018-11-01,15.4561,0.04601318336243421
2018년,12월,2018-12-01,17.5359,0.0861706937880542
2019년,1월,2019-01-01,20.8075,0.052877925363693956
2019년,2월,2019-02-01,18.4399,0.15142867847241304
2019년,3월,2019-03-01,14.4519,0.006091448302748548
2019년,4월,2019-04-01,11.8145,0.01963407266764472
2019년,5월,2019-05-01,11.1911,-0.08781096149457146
