Year,Month,Date,NumVisitors,annualGrowthRate
2018년,6월,2018-06-01,1.3396,0.3688943388514203
2018년,7월,2018-07-01,1.4645,0.2144456422588938
2018년,8월,2018-08-01,1.5463,0.5225482473414731
2018년,9월,2018-09-01,1.4241,0.3138665928591198
2018년,10월,2018-10-01,1.5737,0.2309918648310387
2018년,11월,2018-11-01,1.4001,0.4742550279035484
2018년,12월,2018-12-01,1.2663,0.3421303656597774
2019년,1월,2019-01-01,1.6661,0.4295152295152296
2019년,2월,2019-02-01,1.5147,0.6115544206830514
2019년,3월,2019-03-01,1.6326,0.4478538488825825
2019년,4월,2019-04-01,1.6641,0.2266696152145069
2019년,5월,2019-05-01,1.9091,0.4341195913461537
