Year,Month,Date,NumVisitors,annualGrowthRate
2018년,6월,2018-06-01,11.164,0.0293670185791341
2018년,7월,2018-07-01,12.719,-0.0374238468233246
2018년,8월,2018-08-01,12.9734,-0.0855366570568623
2018년,9월,2018-09-01,12.5236,0.0113216079590419
2018년,10월,2018-10-01,12.239,-0.1208751741872459
2018년,11월,2018-11-01,12.7935,0.0187286495783665
2018년,12월,2018-12-01,17.4578,0.1631011945608507
2019년,1월,2019-01-01,17.99,-0.0920790330313658
2019년,2월,2019-02-01,18.089,0.1554405799878637
2019년,3월,2019-03-01,15.8794,0.2974744049613111
2019년,4월,2019-04-01,13.0707,0.136849521191932
2019년,5월,2019-05-01,13.8239,0.2180935429296489
