Year,Month,Date,NumVisitors,annualGrowthRate
2018년,6월,2018-06-01,9.626,-0.13181510710259303
2018년,7월,2018-07-01,9.8776,-0.10814959279123104
2018년,8월,2018-08-01,11.2959,-0.06677076362554835
2018년,9월,2018-09-01,10.0119,-0.02259037614831161
2018년,10월,2018-10-01,11.14,-0.19250201149633583
2018년,11월,2018-11-01,12.8753,0.004431095682022157
2018년,12월,2018-12-01,13.68,0.037165082108902237
2019년,1월,2019-01-01,16.1115,-0.04184904134354628
2019년,2월,2019-02-01,14.3804,0.17231203176078336
2019년,3월,2019-03-01,13.6225,0.07043791892252926
2019년,4월,2019-04-01,9.771,-0.08275913861404727
2019년,5월,2019-05-01,10.6017,-0.05120012887289915
