Year,month,법무부_명수,법무부_전년대비,일본_명수,일본_전년대비,중국_명수,중국_전년대비,베트남_명수,베트남_전년대비,태국_명수,태국_전년대비,필리핀_명수,필리핀_전년대비,홍콩_명수,홍콩_전년대비,대만_명수,대만_전년대비,마카오_명수,마카오_전년대비,싱가폴_명수,싱가폴_전년대비,말레이시아_명수,말레이시아_전년대비,인도네시아_명수,인도네시아_전년대비,캄보디아_명수,캄보디아_전년대비,라오스_명수,라오스_전년대비,튀르키예_명수,튀르키예_전년대비,인도_명수,인도_전년대비,몽골_명수,몽골_전년대비,미얀마_명수,미얀마_전년대비,이스라엘_명수,이스라엘_전년대비,몰디브_명수,몰디브_전년대비,스리랑카_명수,스리랑카_전년대비,사이프러스_명수,사이프러스_전년대비,부탄_명수,부탄_전년대비,요르단_명수,요르단_전년대비,네팔_명수,네팔_전년대비,예멘_명수,예멘_전년대비
2004년,1월,793478,,164785,,186246,,,,102299,,37526,,37006,,12193,,5677,,30255,,5892,,,,,,,,,,47835,0.34428394784172656,26602,0.5496912501456368,,,2562,,,,,,,,,,,,,,,
,2월,670447,,142718,,215373,,,,59455,,32196,,37513,,13916,,3770,,29835,,6901,,,,,,,,,,,,,,,,2234,,,,,,,,,,,,,,,
,3월,587629,,112516,,190382,,,,47499,,25858,,37622,,12077,,3098,,25853,,3394,,,,,,,,,,,,,,,,1710,,,,,,,,,,,,,,,
,4월,642413,,120427,,223062,,,,58876,,26749,,44722,,12802,,4163,,26713,,3278,,,,,,,,,,,,,,,,1464,,,,,,,,,,,,,,,
,5월,680185,,115659,,202592,,,,71516,,29353,,38076, ,11188,,3729,,31482,,6121,,,,,,,,,,,,,,,,1175,,,,,,,,,,,,,,,
,6월,712260,,116269,,227553,,,,70418,,27389,,41469,,12724,,4082,,29912,,7470,,,,,,,,,,,,,,,,1297,,,,,,,,,,,,,,,
,7월,897234,,160770,,284034,,,,74736,,31148,,49663,,11197,,5738,,35568,,6631,,,,,,,,,,,,,,,,1269,,,,,,,,,,,,,,,
,8월,930573,,170182,,334568,,,,89965,,35341,,52703,,11628,,7230,,38602,,9456,,,,,,,,,,,,,,,,2952,,,,,,,,,,,,,,,
,9월,682244,,113083,,239549,,,,65546,,26187,,44670,,11686,,6322,,25956,,11996,,,,,,,,,,,,,,,,846,,,,,,,,,,,,,,,
,10월,757538,,122877,,272800,,,,77567,,29445,,48786,,11811,,6688,,26936,,10403,,,,,,,,,,,,,,,,1427,,,,,,,,,,,,,,,
,11월,745887,,128369,,243734,,,,103051,,39294,,55822,,13879,,7453,,31623,,8982,,,,,,,,,,,,,,,,838,,,,,,,,,,,,,,,
,12월,725697,,120817,,225000,,,,89963,,38116,,51138,,12994,,7681,,28344,,10746,,,,,,,,,,,,,,,,729,,,,,,,,,,,,,,,
2005년,1월,897406,0.1309777964858509,174775,0.060624450040962466,301458,0.6186012048580909,25326,,52732,-0.48453064057322165,45130,0.2026328412300804,53643,0.4495757444738691,19213,0.5757401787911096,12988,1.2878280782103224,20386,-0.32619401751776567,11461,0.9451799049558723,15726,-0.48669908933642325,,,,,,,49895,0.0430647015783423,30787,0.15731899857153597,,,3280,0.28024980483996875,,,,,0,,,,8706,,,,,
,2월,745998,0.1126875055000619,148946,0.04363850390280133,263822,0.2249539171576753,26261,,54819,-0.07797493902951812,35883,0.11451733134550879,46151,0.2302668408285128,15695,0.12783845932739293,9682,1.5681697612732095,24531,-0.17777777777777778,12450,0.8040863642950297,19555,-0.1252124899346873,,,,,,,,,,,,,3249,0.45434198746642795,,,,,0,,,,,,,,,
,3월,707058,0.2032387782086997,130963,0.16395001599772477,258586,0.3582481537120106,23513,,51889,0.09242299837891324,32478,0.25601361280841517,42506,0.12981765987985752,13555,0.12238138610582099,7067,1.2811491284699805,23476,-0.09194290797973156,11963,2.5247495580436063,17323,-0.06392521344428834,,,,,,,,,,,,,1595,-0.06725146198830409,,,,,11,,,,,,,,,
,4월,762096,0.18630226972368244,122084,0.013759372898104246,292795,0.31261711990388324,25928,,47738,-0.18917725388953055,34180,0.27780477774870094,51457,0.15059702160010732,14924,0.16575535072644898,8225,0.9757386500120105,28923,0.08273125444540111,10926,2.333129957291031,20772,0.15316715705323933,,,,,,,,,,,,,1852,0.2650273224043716,,,,,20,,,,,,,,,
,5월,802497,0.17982166616435236,114151,-0.013038328188900128,303391,0.49754679355552045,24274,,62025,-0.1327115610492757,37510,0.27789323067488847,50832,0.3350141821619918,16167,0.4450303897032535,9092,1.4381871815500133,28927,-0.08115748681786418,12026,0.9647116484234602,22945,0.04757339177281651,,,,,,,,,,,,,1719,0.46297872340425533,,,,,0,,,,,,,,,
,6월,865693,0.2154171229607166,133177,0.14542139349267647,305043,0.34053605094197836,28188,,76232,0.08256411712914312,39800,0.4531381211435248,57555,0.38790421760833393,16919,0.32969192077962906,9246,1.2650661440470357,32366,0.08204065258090398,10620,0.42168674698795183,21648,0.1870373416680375,,,,,,,,,,,,,2445,0.8851195065535852,,,,,0,,,,,,,,,
,7월,1020757,0.13767088630167826,170420,0.06002363625054426,336050,0.18313300520360237,25624,,82743,0.10713712267180475,47265,0.5174329009888274,57983,0.16752914644705313,14237,0.2715012949897294,10235,0.7837225514116417,42961,0.2078553756185335,16227,1.4471422108279295,30276,0.5002973240832508,,,,,,,,,,,,,1693,0.3341213553979511,,,,,0,,,,,,,,,
,8월,1070289,0.15013975260404075,193279,0.13571940628268558,393475,0.17606884101288825,32408,,88053,-0.02125270938698383,46366,0.3119606123199683,61937,0.1752082424150428,16092,0.38390092879256965,11708,0.6193637621023513,42791,0.1085176933837625,18067,0.9106387478849408,27500,0.2008209248504432,,,,,,,,,,,,,4394,0.48848238482384826,,,,,0,,,,,,,,,
,9월,785549,0.1514194335164545,130269,0.15197686654934872,284540,0.18781543650777086,22975,,58794,-0.1030116254233668,30481,0.16397449115973584,52034,0.16485336915155585,12056,0.03166181755947287,7553,0.19471686175260994,25572,-0.014794267221451687,14425,0.20248416138712905,20840,0.684993531694696,,,,,,,,,,,,,1071,0.26595744680851063,,,,,0,,,,,,,,,
,10월,848088,0.11953195747276044,146650,0.19346989265688452,314111,0.151433284457478,27588,,75330,-0.02883958384364485,42044,0.42788249278315504,57183,0.17211905054728815,14055,0.18999237998475996,9594,0.43450956937799046,30060,0.11597861597861597,11202,0.07680476785542632,18038,0.1388345223814635,,,,,,,,,,,,,1838,0.2880168185003504,,,,,0,,,,,,,,,
,11월,784031,0.051139113565459644,140442,0.09404918633003295,255440,0.04802776797656461,27656,,81795,-0.20626679993401326,47685,0.2135440525271033,53115,-0.048493425531152594,15199,0.09510771669428633,10870,0.45847309808130954,31277,-0.010941403408911235,14208,0.5818303273213092,30936,0.6231701558318904,,,,,,,,,,,,,907,0.08233890214797136,,,,,20,,,,,,,,,
,12월,790681,0.0895470148009431,142015,0.17545544087338702,234074,0.040328888888888886,27472,,84351,-0.06238120116047709,50643,0.3286546332248925,58084,0.13582854237553288,14405,0.10858857934431276,14479,0.8850410102851192,32803,0.15731724527236804,14602,0.3588311930020473,17797,-0.3296293506102155,,,,,,,,,,,,,1845,1.5308641975308641,,,,,0,,,,,,,,,
2006년,1월,985287,0.09792780525202639,192590,0.101931054212559,268689,-0.10870170969090222,38758,0.5303640527521124,118919,1.2551581582340894,58583,0.298094393972967,60723,0.1319836698171243,20001,0.04101389684068079,18451,0.4206190329534955,40604,0.991759050328657,15051,0.31323619230433647,23988,0.5253719954215949,,,,,,,22601,0.546,55523,0.8034560041575989,1316,,3615,0.10213414634146341,,,660,,0,-,,,11824,0.3581438088674478,,,,
,2월,944596,0.2662178718977799,174239,0.16981322089884926,322009,0.2205540099006148,42231,0.6081261185788812,113858,1.076980608912968,47678,0.3287071872474432,59013,0.27869385278758857,18518,0.17986619942656898,18200,0.8797769055980169,40835,0.6646284293343117,17705,0.42208835341365464,23621,0.20792636154436206,,,,,,,,,,,1127,,5782,0.7796244998461065,,,451,,0,-,,,,,,,,
,3월,823918,0.16527639882442458,149071,0.13826806044455303,270025,0.0442367336205363,40629,0.7279377365712585,91948,0.7720133361598798,38507,0.1856333518073774,53903,0.2681268526796217,15970,0.1781630394688307,12279,0.737512381491439,36144,0.5396149258817515,15529,0.2980857644403578,22605,0.3049125440166253,,,,,,,,,,,1115,,3560,1.2319749216300941,,,482,,0,-1,,,,,,,,
,4월,855083,0.12201481178224266,162657,0.33233675174470034,296361,0.012179169726258987,33282,0.2836315951866708,76343,0.5992081779714273,39115,0.1443826799297836,55107,0.07093301202946149,13682,-0.0832216563923881,10509,0.2776899696048632,31780,0.09877951803063306,14233,0.30267252425407287,23086,0.1113999614866166,,,,,,,10772,0.301,,,684,,2660,0.43628509719222464,,,322,,0,-1,,,,,,,,
,5월,906482,0.12957680838682262,161080,0.41111334986114884,318514,0.04984656763054936,27155,0.11868666062453655,79708,0.28509471987101975,41376,0.10306584910690475,52803,0.03877478753541076,14007,-0.13360549267025423,10705,0.17740871095468544,34236,0.18353095723718327,12685,0.05479793780143023,24454,0.06576596208324254,,,,,,,,,,,1106,,2172,0.26352530541012215,,,375,,9,-,,,,,,,,
